Id,WnvPresent
1,0.030957053925496643
2,0.011927346276400207
3,0.06783131498311665
4,0.001039273547100171
5,0.0011113982577198105
6,0.0019380839157100635
7,0.025511335905911925
8,0.025511335905911925
9,6.27149373039867e-05
10,2.3698796226435715e-05
11,0.00014284180129721854
12,2.042500645926109e-06
13,2.184405877545968e-06
14,3.812370219622035e-06
15,5.1394390460459575e-05
16,5.1394390460459575e-05
17,0.09671112428503134
18,0.038883396950683616
19,0.19606128387282712
20,0.003474585547245047
21,0.003715090328244759
22,0.006465930445071145
23,0.08066128394327654
24,0.08066128394327654
25,0.050986518869211114
26,0.019897244593252192
27,0.10903428944509994
28,0.0017465806545068085
29,0.0018677001095868313
30,0.003255108671000269
31,0.042170709110886766
32,0.042170709110886766
33,8.46334367539201e-05
34,3.198182139017439e-05
35,0.00019275876720473576
36,2.75640098666256e-06
37,2.9479051717839036e-06
38,5.144876969918974e-06
39,6.935670020642448e-05
40,6.935670020642448e-05
41,0.0162724528176663
42,0.006211699196887147
43,0.03631067836848426
44,0.0005384050914270292
45,0.0005757899874175623
46,0.0010044775243947097
47,0.013374280606106377
48,0.013374280606106377
49,9.147158548537506e-05
50,3.456601158666007e-05
51,0.00020833132483137764
52,2.9791303091605192e-06
53,3.186108825380498e-06
54,5.56060458329284e-06
55,7.496062320800976e-05
56,7.496062320800976e-05
57,0.00011660093711231798
58,4.406278012347015e-05
59,0.00026555621256660415
60,3.7976583638552525e-06
61,4.06150483030596e-06
62,7.088398067384347e-06
63,9.55544666281546e-05
64,9.55544666281546e-05
65,0.02597055111288885
66,0.009974560787587156
67,0.05725612168144363
68,0.000867554965544796
69,0.0009277736188374863
70,0.0016180959576127943
71,0.021382663130762456
72,0.021382663130762456
73,0.0320915112209627
74,0.01237334217161336
75,0.0702191540949877
76,0.0010785792375263875
77,0.0011534285804488226
78,0.0020113144874424633
79,0.02645167597962012
80,0.02645167597962012
81,0.023017097024365222
82,0.008823742468459086
83,0.050930810491949786
84,0.0007666468684675476
85,0.0008198670448167376
86,0.001430014979141112
87,0.018940812480261367
88,0.018940812480261367
89,0.017029967559900633
90,0.006503962539120677
91,0.03796501170095657
92,0.0005638887621986
93,0.0006030420841681698
94,0.0010519980129199387
95,0.013998799619558204
96,0.013998799619558204
97,0.046171620814283644
98,0.017962683609343565
99,0.09931131148051299
100,0.001573930865191815
101,0.0016830978283607237
102,0.002933778880776921
103,0.038154858445213574
104,0.038154858445213574
105,0.00012127054920887176
106,4.5827531084410844e-05
107,0.0002761895093780795
108,3.949764107126916e-06
109,4.224178241734235e-06
110,7.3723052183687505e-06
111,9.938129746258999e-05
112,9.938129746258999e-05
113,0.1419169323873375
114,0.05881884022475996
115,0.2736383290984245
116,0.005357188043159724
117,0.005727254377983009
118,0.00995311764509985
119,0.1193561980005887
120,0.1193561980005887
121,9.370176347124588e-05
122,3.540881814587089e-05
